File,Component_,FileName,FileSize,Version,Language,Attributes,Sequence
filCA69D5FDA3737ED73E623DC0D933AD4C,cmp3C8F61E93F4761C4C53B4DD05269DA91,nc1crd7k.nrm|corlexa_fr-FR_hq.nrm,971790,,,512,1414
fil65FE9B5A957BFC5317E887FB83CE779A,cmpBF272122278F3F56D09016D05CC02D63,2mpdxus3.phm|corlexa_fr-FR_hq_echo.phm,78,,,512,702
fil928FC2C019627CBC106D6DD88EC5F039,cmp49BD48531666A0B9A9BF4B05D8450D77,rh6tlnza.th|corlexa_fr-FR_hq_echo.th,3,,,512,997
filCD4745DE0687A2F21F9C5C65AE19AB19,cmpC8F963488A6F8A5F552516375606CB6A,d64svihp.phm|corlexa_fr-FR_hq_hwkws.phm,96,,,512,1438
fil7884416D416DD834C62DABDED8443B0F,cmp85E1B51A47F602483263A1FB6B312B47,mp7cvmfy.th|corlexa_fr-FR_hq_hwkws.th,3,,,512,825
filB82FCB919F199C94B55686AF64D69B54,cmp796C67257157D01F3EC5D8A975249467,o8_qdffl.amp|corlexa_it-IT_hq.amp,879440,,,512,1276
fil27ACF39E808D20388566C48974B55DA4,cmpE638235A5711C09946F382825666A957,apnlcdb-.dsp|corlexa_it-IT_hq.dsp,172188,,,512,276
fil33365FF4ADC07B4D1FB9EB4B635898B9,cmp632D80B7530C54538B4D0E91448816E7,4hv0hxxv.nrm|corlexa_it-IT_hq.nrm,971790,,,512,357
fil8CD687BF8CD4C9D6E5EC072665136B74,cmpA832DE44D2237C8F27A901D760445778,ntujxxky.phm|corlexa_it-IT_hq_echo.phm,78,,,512,953
fil45F969571890833F7820F86AF747487A,cmp9C44403BE0B538EF399C26C3004ACC4F,egvnszra.th|corlexa_it-IT_hq_echo.th,1,,,512,486
fil1D036313519B1B2A81E201E34DCCA4DA,cmpA62CF0515E221CA27F0B176226C94D83,lazqqgyu.phm|corlexa_it-IT_hq_hwkws.phm,96,,,512,191
fil1C414E5051C7E7B0F1C61D7EA0822962,cmpA2A4440C195AC22E474BCE6EA302B01E,0i-9izo4.th|corlexa_it-IT_hq_hwkws.th,4,,,512,184
filE297DF4325968CD9FC4747FDC6501709,cmp4B5C70789E05C9269FBD6FA7B2B2E779,yt6qyp8p.amp|corlexa_ja-JP_hq.amp,894564,,,512,1601
filA59B3FD1DEFF5363F8B7A7111F9EAEC1,cmpE88BEF26C89DDC86D4DF2D01443C442E,aztfai3x.dsp|corlexa_ja-JP_hq.dsp,172408,,,512,1132
fil87D3EECBC2DC434BFC38FD57C05ACF8F,cmp10440A07BDACA3DCDE88D1915CB090AC,qyndf3m1.nrm|corlexa_ja-JP_hq.nrm,971790,,,512,917
fil1F70F2AC13316622AAB0B9E89BBF10C8,cmp4F5CF6CA57C9BC86E5C45BC4F278D8DE,7audzrzq.phm|corlexa_ja-JP_hq_echo.phm,78,,,512,207
fil24549EE5DDBC6678E73574DF81C823F8,cmpF8138FC8F1A862611F4C327FBD6AB0E3,2asifptd.th|corlexa_ja-JP_hq_echo.th,3,,,512,247
fil29D9415A0FFC528754EB3127DA05791D,cmp11E2DAE9A7D44EEAC96A5914EA42A1B4,o9bldyav.phm|corlexa_ja-JP_hq_hwkws.phm,108,,,512,292
